Variable,Description
person_id_syn,Person Unique ID
transportation_issues,"1 = transportation challenge, 0 = no transportation challenge"
src_platform_cd, Standard Humana Member Identifier - unique when paired with src_mbr_id
sex_cd, Member gender
lang_spoken_cd, Preferred Language for Member
mabh_seg,Medicare Segmentation
cms_ra_factor_type_cd,CMS Risk Adjustment Factor Type
cons_cmys,KBM-Category-Census Education Level
cons_hcaccprf_h,"KBM - Predicts the type of facility an individual is likely to go to for their healthcare needs, household"
cons_hcaccprf_p,"KBM - KBM - Predicts the type of facility an individual is likely to go to for their healthcare needs, person"
cons_hhcomp,KBM-Category-Household Composition
cons_homstat,KBM-NUM-Homeowner Status
hedis_ami,HEDIS - Persistence of Beta-Blocker Treatment After a Heart Attack
hedis_cmc_ldc_c_control,HEDIS - LDL Cholesterol in control 
hedis_cmc_ldc_c_screen,HEDIS - LDL Cholesterol screening 
rucc_category, Member geographic information - Rural Urban Continuum Code
zip_cd,Zipcode populated for a subset of the members
cnty_cd,FIPS county code (without state part)
state_cd, Member geographic information - Postal Abbreviation
est_age," Member age calculated using est_bday, relative to score/index date"
cci_score," Charlson Comorbidity Index value, sum of clinical and age components - adjusted for hierarchy"
dcsi_score, Final Diabetes Cormorbidity Severity Index score
fci_score, Functional Comorbidity Index value calculated from 18 components
hcc_weighted_sum, Sum of weighted existing HCC categories present in the reference table for each member
betos_d1c_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_d1d_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m1b_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m2c_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m5b_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m5c_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_m5d_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_o1a_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_o1b_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_o1e_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_o1g_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t1a_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t1b_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t1e_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t1h_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_t2a_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
betos_y2_pmpm_ct, Per Member Per Month Count of Logical Claims for each of the BETOS codes
credit_bal_1stmtg_30to59dpd,Balance 1st Mortgage Accts - 30 to 59 dpd
credit_bal_1stmtg_60to89dpd,Balance 1st Mortgage Accts - 60 to 89 dpd
credit_bal_1stmtg_collections,Balance 1st Mortgage Accts - 120 dpd or Collections
credit_bal_1stmtg_severederog,Balance 1st Mortgage Accts - Severe Derogatory Accts
credit_bal_1stmtgcredit_60dpd,Balance 1st Mortgage Accts 60+ dpd
credit_bal_agency1stmorg_collect,Balance Agency 1st Mortgage Accts - 120 dpd or Collections
credit_bal_agencyfirstmtg_60dpd,Balance Agency 1st Mortgage Accts 60+ dpd
credit_bal_agencyfirstmtg_new,Balance Agency 1st Mortgage Accts New w/in 12 months
credit_bal_autobank,Balance Auto Bank Loan Accts
credit_bal_autobank_new,Balance Auto Bank Loan Accts New w/in 12 months
credit_bal_autofinance,Balance Auto Finance Loan Accts
credit_bal_autofinance_new,Balance Auto Finance Loan Accts New w/in 12 months
credit_bal_bankcard_severederog,Balance Bank Card Accts - Severe Derogatory Accts
credit_bal_consumerfinance,Balance Consumer Finance Accts
credit_bal_consumerfinance_new,Balance Consumer Finance Accts New w/in 12 months
credit_bal_heloc_60dpd,Balance HELOC Accts 60+ dpd
credit_bal_heloc_severederog,Balance HELOC Accts - Severe Derogatory Accts
credit_bal_mtg_90to119dpd,Balance All Mortgage Accts - 90 to 119 dpd
credit_bal_mtg_bankruptcy,Balance All Mortgage Accts -  Bankruptcy Accts
credit_bal_mtg_severederog,Balance All Mortgage Accts - Severe Derogatory Accts
credit_bal_mtgcredit_new,Balance All Mortgage Type Accts New w/in 12 months
credit_bal_nonagn1stmorg_30to59d,Balance Non-Agency 1st Mortgage Accts - 30 to 59 dpd
credit_bal_nonagn1stmorg_60to89d,Balance Non-Agency 1st Mortgage Accts - 60 to 89 dpd
credit_bal_nonagn1stmorg_90to119,Balance Non-Agency 1st Mortgage Accts - 90 to 119 dpd
credit_bal_nonagn1stmorg_bankrup,Balance Non-Agency 1st Mortgage Accts -  Bankruptcy Accts
credit_bal_nonagn1stmorg_collect,Balance Non-Agency 1st Mortgage Accts - 120 dpd or Collections
credit_bal_nonagnfirstmtg_60dpd,Balance Non-Agency 1st Mortgage Accts 60+ dpd
credit_bal_nonmtgcredit_60dpd,Balance Non-Mortgage Loan Accts 60+ dpd
credit_bal_studentloan_60dpd,Balance Student Loan Accts 60+ dpd
credit_bal_totalallcredit_60dpd,Balance All Credit Type Accts 60+ dpd
credit_bal_totalallcredit_60to89,Balance All Credit Accts - 60 to 89 dpd
credit_bal_totalallcredit_90to11,Balance All Credit Accts - 90 to 119 dpd
credit_bal_totalallcredit_new,Balance All Credit Type Accts New w/in 12 months
credit_hh_1stmtg_severederog,% HH 1st Mortgage Accts - Severe Derogatory Accts
credit_hh_1stmtgcredit,% HH 1st Mortgage Accts
credit_hh_1stmtgcredit_new,% HH 1st Mortgage Accts New w/in 12 months
credit_hh_agencyfirstmtg,% HH Agency 1st Mortgage Accts
credit_hh_agencyfirstmtg_new,% HH Agency 1st Mortgage Accts New w/in 12 months
credit_hh_autobank,% HH Auto Bank Loan Accts
credit_hh_autobank_new,% HH Auto Bank Loan Accts New w/in 12 months
credit_hh_autofinance,% HH Auto Finance Loan Accts
credit_hh_autofinance_new,% HH Auto Finance Loan Accts New w/in 12 months
credit_hh_bankcard_severederog,% HH Bank Card Accts - Severe Derogatory Accts
credit_hh_bankcardcredit_60dpd,% HH Bank Card Accts 60+ dpd
credit_hh_consumerfinance,% HH Consumer Finance Accts
credit_hh_consumerfinance_new,% HH Consumer Finance Accts New w/in 12 months
credit_hh_mtg_severederog,% HH All Mortgage Accts - Severe Derogatory Accts
credit_hh_mtgcredit_new,% HH All Mortgage Type Accts New w/in 12 months
credit_hh_nonagnfirstmtg,% HH Non-Agency 1st Mortgage Accts
credit_hh_nonmtgcredit_60dpd,% HH Non-Mortgage Loan Accts 60+ dpd
credit_hh_studentloan,% HH Student Loan Accts
credit_hh_studentloan_60dpd,% HH Student Loan Accts 60+ dpd
credit_hh_totalallcredit_bankrup,% HH All Credit Accts - Bankruptcy Accts
credit_hh_totalallcredit_collect,% HH All Credit Accts - 120 dpd or Collections
credit_hh_totalallcredit_severed,% HH All Credit Accts - Severe Derogatory Accts
credit_highcrd_consumerfinance_n,High Credit for Consumer Finance Accts New w/in 12 months
credit_minmob_1stmtgcredit,Newest 1st Mortgage Acct Age
credit_minmob_agencyfirstmtg,Newest Agency 1st Mortgage Acct Age
credit_minmob_mtgcredit,Newest Mortgage Acct Age
credit_minmob_nonagn,Newest Non-Agency 1st Mortgage Acct Age
credit_num_1stmtg_30to59dpd,Number 1st Mortgage Accts - 30 to 59 dpd
credit_num_1stmtg_60to89dpd,Number 1st Mortgage Accts - 60 to 89 dpd
credit_num_1stmtg_bankruptcy,Number 1st Mortgage Accts -  Bankruptcy Accts
credit_num_1stmtg_collections,Number 1st Mortgage Accts - 120 dpd or Collections
credit_num_1stmtg_severederog,Number 1st Mortgage Accts - Severe Derogatory Accts
credit_num_1stmtgcredit,Number 1st Mortgage Accts
credit_num_1stmtgcredit_new,Number 1st Mortgage Accts New w/in 12 months
credit_num_agency1stmorg_collect,Number Agency 1st Mortgage Accts - 120 dpd or Collections
credit_num_agencyfirstmtg,Number Agency 1st Mortgage Accts
credit_num_agencyfirstmtg_60dpd,Number Agency 1st Mortgage Accts 60+ dpd
credit_num_agencyfirstmtg_new,Number Agency 1st Mortgage Accts New w/in 12 months
credit_num_autobank,Number Auto Bank Loan Accts
credit_num_autobank_new,Number Auto Bank Loan Accts New w/in 12 months
credit_num_autofinance,Number Auto Finance Loan Accts
credit_num_autofinance_new,Number Auto Finance Loan Accts New w/in 12 months
credit_num_bankcard_severederog,Number Bank Card Accts - Severe Derogatory Accts
credit_num_consumerfinance,Number Consumer Finance Accts
credit_num_consumerfinance_new,Number Consumer Finance Accts New w/in 12 months
credit_num_heloc_60dpd,Number HELOC Accts 60+ dpd
credit_num_heloc_severederog,Number HELOC Accts - Severe Derogatory Accts
credit_num_mtg_60to89dpd,Number All Mortgage Accts - 60 to 89 dpd
credit_num_mtg_90to119dpd,Number All Mortgage Accts - 90 to 119 dpd
credit_num_mtg_collections,Number All Mortgage Accts - 120 dpd or Collections
credit_num_mtg_severederog,Number All Mortgage Accts - Severe Derogatory Accts
credit_num_mtgcredit_new,Number All Mortgage Type Accts New w/in 12 months
credit_num_nonagn1stmorg_30to59d,Number Non-Agency 1st Mortgage Accts - 30 to 59 dpd
credit_num_nonagn1stmorg_60to89d,Number Non-Agency 1st Mortgage Accts - 60 to 89 dpd
credit_num_nonagn1stmorg_90to119,Number Non-Agency 1st Mortgage Accts - 90 to 119 dpd
credit_num_nonagn1stmorg_bankrup,Number Non-Agency 1st Mortgage Accts -  Bankruptcy Accts
credit_num_nonagn1stmorg_collect,Number Non-Agency 1st Mortgage Accts - 120 dpd or Collections
credit_num_nonmtgcredit_60dpd,Number Non-Mortgage Loan Accts 60+ dpd
credit_num_studentloan,Number Student Loan Accts
credit_num_studentloan_60dpd,Number Student Loan Accts 60+ dpd
credit_num_totalallcredit_collec,Number All Credit Accts - 120 dpd or Collections
credit_num_totalallcredit_severe,Number All Credit Accts - Severe Derogatory Accts
credit_prcnt_agencyfirstmtg,% Balance to High Agency 1st Mortgage Credit
credit_prcnt_autobank,% Balance to High Auto Bank Credit
credit_prcnt_mtgcredit,% Balance to High Mortgage Credit
credit_prcnt_nonagnfirstmtg,% Balance to High Non-Agency 1st Mortgage Credit
med_ambulance_visit_ct_pmpm," Per Member Per Month Visits for non-BH related claims, broken out by utilization category"
med_er_visit_ct_pmpm," Per Member Per Month Visits for non-BH related claims, broken out by utilization category"
med_ip_acute_admit_ct_pmpm," Per Member Per Month IP Admit Count for non-BH related claims, broken out by utilization category"
med_ip_acute_admit_days_pmpm," Per Member Per Month Admitted IP Days for non-BH related claims, broken out by utilization category"
med_ip_rehab_admit_ct_pmpm," Per Member Per Month IP Admit Count for non-BH related claims, broken out by utilization category"
med_ip_rehab_admit_days_pmpm," Per Member Per Month Admitted IP Days for non-BH related claims, broken out by utilization category"
med_ip_snf_admit_ct_pmpm," Per Member Per Month IP Admit Count for non-BH related claims, broken out by utilization category"
med_ip_snf_admit_days_pmpm," Per Member Per Month Admitted IP Days for non-BH related claims, broken out by utilization category"
med_outpatient_visit_ct_pmpm," Per Member Per Month Visits for non-BH related claims, broken out by utilization category"
med_physician_office_visit_ct_pm," Per Member Per Month Visits for non-BH related claims, broken out by utilization category"
med_urgent_care_visit_ct_pmpm," Per Member Per Month Visits for non-BH related claims, broken out by utilization category"
pdc_ast, PDC value for each Category of drugs from the reference table  - Asthma 
pdc_cvd, PDC value for each Category of drugs from the reference table - Circular Vascular Disease
pdc_dep, PDC value for each Category of drugs from the reference table - Depression
pdc_dia, PDC value for each Category of drugs from the reference table - Diabetes
pdc_hf, PDC value for each Category of drugs from the reference table - Heart Failure
pdc_ht, PDC value for each Category of drugs from the reference table - Hypertension
pdc_lip, PDC value for each Category of drugs from the reference table - Hyperlipidemia
pdc_ost, PDC value for each Category of drugs from the reference table - Osteoparosis
rx_bh_pmpm_ct, Per Member Per Month Count for prescriptions broken out by category
rx_branded_pmpm_ct, Per Member Per Month Count for prescriptions broken out by category
rx_generic_pmpm_ct, Per Member Per Month Count for prescriptions broken out by category
rx_gpi2_01_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_02_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_03_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_04_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_05_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_07_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_09_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_11_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_12_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_13_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_15_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_16_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_17_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_18_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_21_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_22_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_23_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_24_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_25_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_26_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_27_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_28_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_30_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_31_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_32_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_33_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_34_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_35_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_36_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_37_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_38_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_39_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_40_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_41_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_42_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_43_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_44_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_46_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_47_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_48_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_49_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_50_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_51_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_52_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_53_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_54_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_55_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_56_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_57_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_58_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_59_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_60_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_61_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_62_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_64_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_65_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_66_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_67_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_68_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_72_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_73_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_74_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_75_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_77_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_78_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_79_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_82_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_83_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_85_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_86_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_87_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_88_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_89_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_90_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_93_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_94_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_97_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_gpi2_99_pmpm_ct, Per Member Per Month Count for prescriptions broken out by GPI2 Category
rx_mail_pmpm_ct, Per Member Per Month Count for prescriptions broken out by category
rx_maint_pmpm_ct, Per Member Per Month Count for prescriptions broken out by category
rx_otc_pmpm_ct, Per Member Per Month Count for prescriptions broken out by category
rx_overall_pmpm_ct, Per Member Per Month Count for prescriptions
submcc_ano_cns_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_ano_dig_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_ano_gu_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_ano_hrt_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_ano_mus_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_ano_othr_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_ben_ner_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_ben_othr_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_ben_unk_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_bld_anem_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_bld_othr_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_brn_othr_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_cad_ang_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_cad_ashd_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_cad_cabg_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_cad_isch_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_cad_mi_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_cad_ptca_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_brst_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_dig_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_end_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_gu_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_h_n_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_h_o_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_leuk_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_lymp_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_ner_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_othr_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_res_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_sec_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
submcc_can_skn_pmpm_ct, Per Member Per Month Count of logical claims for each of the MCC categories present in the reference table
